_id,comment_user_id,content,created_at,img_name,img_url,like_num,mblog_id,reply_comment_id,root_comment_id
4704837348360220,1787427854,[赞],2021-11-18,,,0,4704521537720325,,
4704837503289636,5369728468,回复@麻瓜尖果儿:不需要看令人心动的offer，那种只是综艺，另外，我本人就是学医学的，现在部分医生的确也是过度依赖仪器，医院为了业绩也的确存在过度检查，连上课老师都有在提这种现在，而且我也一直在强调过度检查，而不是检查，医院也需要业绩这个也可以理解，公益也不一定是免费，想法天真的你才应该回大清,2021-11-18,,,0,4704521537720325,4704835301806835,4704658956486796
4704836963272625,1969031503,回复@瑾色长安201405:因为胃不舒服也有其他原因啊，病理因素太多，万一是胃炎，胃溃疡这种呢,2021-11-18,,,0,4704521537720325,4704800756729742,4704658956486796
4704836458907968,1969031503,回复@八戒师傅熟了吗:可能他们觉得医生眼睛就应该自带ct效果,2021-11-18,,,0,4704521537720325,4704797388704786,4704658956486796
4704835717304045,3611475557,回复@丶漓丝丝:你这个就好比我没有手机，扫不了码就无法看病一样，我用别人手机人脸识别了一个号两个人的健康码都不都不行，只认手机，后来别人借我一个手机连看都不看是不是本人就让我过了，真事,2021-11-18,,,0,4704521537720325,4704788090196037,4704658956486796
4704835301806835,2380750365,回复@奶茶喝多也会腻:你去看看令人心动的offer第三季吧，检查是为了查你生病的根源在哪，表现出来的症状也可能是一处或者多处的病变引起的，医生看病要讲根据的，不检查就没有你身体的数据，谁能给你诊断到底是什么病啊。再说现在是科技发达了，有这么多仪器可以直接看出你的身体情况，你要是不想检查直接看病那你回大清吧,2021-11-18,,,0,4704521537720325,4704800099533568,4704658956486796
4704834735835196,1678504783,现在黄牛不能挂号了，但他们能解决检查排队的问题有些检查单子开出来要排一两天才能排到，这些牛牛让你当天就能做上这些检查，对外地人来说他们愿意花这个钱，因为就算不花这个钱，他们当天也要解决吃饭住宿等问题，而且还浪费时间，不如直接交给牛牛解决,2021-11-18,,,0,4704521537720325,4704658956486796,4704658956486796
4704834499904052,6246624565,回复@穿棉裤的潜资:白血病有一个特征是牙龈出血,2021-11-18,,,0,4704521537720325,4704808625506372,4704658956486796
4704834193722049,2380750365,看病不检查你去看啥？,2021-11-18,,,0,4704521537720325,4704658956486796,4704658956486796
4704834153088603,7569776356,回复@予安予以心安:但是对于我来说确实是过度检查啊，十几块我就忍了，100多我半天工资，不行,2021-11-18,,,0,4704521537720325,4704833523419252,4704658956486796
